transtime_30sec,Link_ID,%_green,%_amber,%_red
0 days 07:07:30.000000000,5677903#1,83.33,10,6.67
0 days 07:08:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:08:00.000000000,-23334090#0,90,10,0
0 days 07:08:00.000000000,221723366,83.33,10,6.67
0 days 07:08:00.000000000,221731899#2.168,90,10,0
0 days 07:08:00.000000000,349154287#5,83.33,10,6.67
0 days 07:08:00.000000000,5677903#1,83.33,10,6.67
0 days 07:08:30.000000000,-139919720#0,100,0,0
0 days 07:08:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:08:30.000000000,221723366,100,0,0
0 days 07:08:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:08:30.000000000,349154287#5,83.33,10,6.67
0 days 07:08:30.000000000,5677903#1,83.33,10,6.67
0 days 07:09:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:09:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:09:00.000000000,221723366,83.33,10,6.67
0 days 07:09:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:09:00.000000000,349154287#5,83.33,10,6.67
0 days 07:09:00.000000000,5677903#1,83.33,10,6.67
0 days 07:09:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:09:30.000000000,-23334090#0,90,10,0
0 days 07:09:30.000000000,221723366,83.33,10,6.67
0 days 07:09:30.000000000,221731899#2.168,90,10,0
0 days 07:09:30.000000000,349154287#5,83.33,10,6.67
0 days 07:09:30.000000000,5677903#1,83.33,10,6.67
0 days 07:10:00.000000000,-139919720#0,100,0,0
0 days 07:10:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:10:00.000000000,221723366,100,0,0
0 days 07:10:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:10:00.000000000,349154287#5,83.33,10,6.67
0 days 07:10:00.000000000,5677903#1,83.33,10,6.67
0 days 07:10:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:10:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:10:30.000000000,221723366,83.33,10,6.67
0 days 07:10:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:10:30.000000000,349154287#5,83.33,10,6.67
0 days 07:10:30.000000000,5677903#1,83.33,10,6.67
0 days 07:11:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:11:00.000000000,-23334090#0,90,10,0
0 days 07:11:00.000000000,221723366,83.33,10,6.67
0 days 07:11:00.000000000,221731899#2.168,90,10,0
0 days 07:11:00.000000000,349154287#5,83.33,10,6.67
0 days 07:11:00.000000000,5677903#1,83.33,10,6.67
0 days 07:11:30.000000000,-139919720#0,100,0,0
0 days 07:11:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:11:30.000000000,221723366,100,0,0
0 days 07:11:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:11:30.000000000,349154287#5,83.33,10,6.67
0 days 07:11:30.000000000,5677903#1,83.33,10,6.67
0 days 07:12:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:12:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:12:00.000000000,221723366,83.33,10,6.67
0 days 07:12:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:12:00.000000000,349154287#5,83.33,10,6.67
0 days 07:12:00.000000000,5677903#1,83.33,10,6.67
0 days 07:12:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:12:30.000000000,-23334090#0,90,10,0
0 days 07:12:30.000000000,221723366,83.33,10,6.67
0 days 07:12:30.000000000,221731899#2.168,90,10,0
0 days 07:12:30.000000000,349154287#5,83.33,10,6.67
0 days 07:12:30.000000000,5677903#1,83.33,10,6.67
0 days 07:13:00.000000000,-139919720#0,100,0,0
0 days 07:13:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:13:00.000000000,221723366,100,0,0
0 days 07:13:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:13:00.000000000,349154287#5,83.33,10,6.67
0 days 07:13:00.000000000,5677903#1,83.33,10,6.67
0 days 07:13:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:13:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:13:30.000000000,221723366,83.33,10,6.67
0 days 07:13:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:13:30.000000000,349154287#5,83.33,10,6.67
0 days 07:13:30.000000000,5677903#1,83.33,10,6.67
0 days 07:14:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:14:00.000000000,-23334090#0,90,10,0
0 days 07:14:00.000000000,221723366,83.33,10,6.67
0 days 07:14:00.000000000,221731899#2.168,90,10,0
0 days 07:14:00.000000000,349154287#5,83.33,10,6.67
0 days 07:14:00.000000000,5677903#1,83.33,10,6.67
0 days 07:14:30.000000000,-139919720#0,100,0,0
0 days 07:14:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:14:30.000000000,221723366,100,0,0
0 days 07:14:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:14:30.000000000,349154287#5,83.33,10,6.67
0 days 07:14:30.000000000,5677903#1,83.33,10,6.67
0 days 07:15:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:15:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:15:00.000000000,221723366,83.33,10,6.67
0 days 07:15:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:15:00.000000000,349154287#5,83.33,10,6.67
0 days 07:15:00.000000000,5677903#1,83.33,10,6.67
0 days 07:15:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:15:30.000000000,-23334090#0,90,10,0
0 days 07:15:30.000000000,221723366,83.33,10,6.67
0 days 07:15:30.000000000,221731899#2.168,90,10,0
0 days 07:15:30.000000000,349154287#5,83.33,10,6.67
0 days 07:15:30.000000000,5677903#1,83.33,10,6.67
0 days 07:16:00.000000000,-139919720#0,100,0,0
0 days 07:16:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:16:00.000000000,221723366,100,0,0
0 days 07:16:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:16:00.000000000,349154287#5,83.33,10,6.67
0 days 07:16:00.000000000,5677903#1,83.33,10,6.67
0 days 07:16:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:16:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:16:30.000000000,221723366,83.33,10,6.67
0 days 07:16:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:16:30.000000000,349154287#5,83.33,10,6.67
0 days 07:16:30.000000000,5677903#1,83.33,10,6.67
0 days 07:17:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:17:00.000000000,-23334090#0,90,10,0
0 days 07:17:00.000000000,221723366,83.33,10,6.67
0 days 07:17:00.000000000,221731899#2.168,90,10,0
0 days 07:17:00.000000000,349154287#5,83.33,10,6.67
0 days 07:17:00.000000000,5677903#1,83.33,10,6.67
0 days 07:17:30.000000000,-139919720#0,100,0,0
0 days 07:17:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:17:30.000000000,221723366,100,0,0
0 days 07:17:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:17:30.000000000,349154287#5,83.33,10,6.67
0 days 07:17:30.000000000,5677903#1,83.33,10,6.67
0 days 07:18:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:18:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:18:00.000000000,221723366,83.33,10,6.67
0 days 07:18:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:18:00.000000000,349154287#5,83.33,10,6.67
0 days 07:18:00.000000000,5677903#1,83.33,10,6.67
0 days 07:18:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:18:30.000000000,-23334090#0,90,10,0
0 days 07:18:30.000000000,221723366,83.33,10,6.67
0 days 07:18:30.000000000,221731899#2.168,90,10,0
0 days 07:18:30.000000000,349154287#5,83.33,10,6.67
0 days 07:18:30.000000000,5677903#1,83.33,10,6.67
0 days 07:19:00.000000000,-139919720#0,100,0,0
0 days 07:19:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:19:00.000000000,221723366,100,0,0
0 days 07:19:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:19:00.000000000,349154287#5,83.33,10,6.67
0 days 07:19:00.000000000,5677903#1,83.33,10,6.67
0 days 07:19:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:19:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:19:30.000000000,221723366,83.33,10,6.67
0 days 07:19:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:19:30.000000000,349154287#5,83.33,10,6.67
0 days 07:19:30.000000000,5677903#1,83.33,10,6.67
0 days 07:20:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:20:00.000000000,-23334090#0,90,10,0
0 days 07:20:00.000000000,221723366,83.33,10,6.67
0 days 07:20:00.000000000,221731899#2.168,90,10,0
0 days 07:20:00.000000000,349154287#5,83.33,10,6.67
0 days 07:20:00.000000000,5677903#1,83.33,10,6.67
0 days 07:20:30.000000000,-139919720#0,100,0,0
0 days 07:20:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:20:30.000000000,221723366,100,0,0
0 days 07:20:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:20:30.000000000,349154287#5,83.33,10,6.67
0 days 07:20:30.000000000,5677903#1,83.33,10,6.67
0 days 07:21:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:21:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:21:00.000000000,221723366,83.33,10,6.67
0 days 07:21:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:21:00.000000000,349154287#5,83.33,10,6.67
0 days 07:21:00.000000000,5677903#1,83.33,10,6.67
0 days 07:21:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:21:30.000000000,-23334090#0,90,10,0
0 days 07:21:30.000000000,221723366,83.33,10,6.67
0 days 07:21:30.000000000,221731899#2.168,90,10,0
0 days 07:21:30.000000000,349154287#5,83.33,10,6.67
0 days 07:21:30.000000000,5677903#1,83.33,10,6.67
0 days 07:22:00.000000000,-139919720#0,100,0,0
0 days 07:22:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:22:00.000000000,221723366,100,0,0
0 days 07:22:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:22:00.000000000,349154287#5,83.33,10,6.67
0 days 07:22:00.000000000,5677903#1,83.33,10,6.67
0 days 07:22:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:22:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:22:30.000000000,221723366,83.33,10,6.67
0 days 07:22:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:22:30.000000000,349154287#5,83.33,10,6.67
0 days 07:22:30.000000000,5677903#1,83.33,10,6.67
0 days 07:23:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:23:00.000000000,-23334090#0,90,10,0
0 days 07:23:00.000000000,221723366,83.33,10,6.67
0 days 07:23:00.000000000,221731899#2.168,90,10,0
0 days 07:23:00.000000000,349154287#5,83.33,10,6.67
0 days 07:23:00.000000000,5677903#1,83.33,10,6.67
0 days 07:23:30.000000000,-139919720#0,100,0,0
0 days 07:23:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:23:30.000000000,221723366,100,0,0
0 days 07:23:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:23:30.000000000,349154287#5,83.33,10,6.67
0 days 07:23:30.000000000,5677903#1,83.33,10,6.67
0 days 07:24:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:24:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:24:00.000000000,221723366,83.33,10,6.67
0 days 07:24:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:24:00.000000000,349154287#5,83.33,10,6.67
0 days 07:24:00.000000000,5677903#1,83.33,10,6.67
0 days 07:24:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:24:30.000000000,-23334090#0,90,10,0
0 days 07:24:30.000000000,221723366,83.33,10,6.67
0 days 07:24:30.000000000,221731899#2.168,90,10,0
0 days 07:24:30.000000000,349154287#5,83.33,10,6.67
0 days 07:24:30.000000000,5677903#1,83.33,10,6.67
0 days 07:25:00.000000000,-139919720#0,100,0,0
0 days 07:25:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:25:00.000000000,221723366,100,0,0
0 days 07:25:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:25:00.000000000,349154287#5,83.33,10,6.67
0 days 07:25:00.000000000,5677903#1,83.33,10,6.67
0 days 07:25:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:25:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:25:30.000000000,221723366,83.33,10,6.67
0 days 07:25:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:25:30.000000000,349154287#5,83.33,10,6.67
0 days 07:25:30.000000000,5677903#1,83.33,10,6.67
0 days 07:26:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:26:00.000000000,-23334090#0,90,10,0
0 days 07:26:00.000000000,221723366,83.33,10,6.67
