Link,X_lower_L,Y_lower_L,X_lower_R,Y_lower_R,X_upper_L,Y_upper_L,X_upper_R,Y_upper_R
349154287#5,5405.15221,15088.92528,5453.44853,15109.95649,5379.98694,15152.9704,5426.74119,15172.72202
5677903#1,5240.34758,15342.2841,5278.37437,15357.63918,5172.85741,15512.66643,5210.81858,15528.77614
-139919720#0.114,6443.49028,12507.95944,6471.37878,12522.06774,6376.52507,12634.01546,6418.19377,12617.21674
-139919720#0,6614.8241,12192.06476,6642.45012,12207.2886,6443.49028,12507.95944,6471.37878,12522.06774
221723366,6292.46585,12718.7965,6340.72936,12710.75805,6180.84623,12991.84132,6220.84162,13007.06516
-23334090#0,7536.09609,10575.74573,7563.29558,10591.13362,7383.00463,10843.60657,7409.41668,10860.96306
221731899#2.168,7264.98706,10985.14891,7293.07242,11000.40556,7135.38756,11211.27543,7163.17763,11227.22109
