Link,Width
170093,10.98
170094,7.32
170095,7.32
170096,7.32
170097,3.66
170098,7.32
170100,3.66
170101,7.32
170102,7.32
170103,7.32
170104,7.32
170105,7.32
170106,7.32
170108,3.66
170109,3.66
170261,10.98
170262,18.3
170263,14.64
170286,10.05
170287,10.05
170288,13.4
170296,13.4
170301,10.05
170303,6.7
170304,6.7
170305,10.05
170319,7.32
170321,6.7
170322,6.7
170567,10.98
170568,10.98
170569,10.98
170570,10.98
170571,14.64
170572,10.98
170573,18.3
170612,10.98
170613,10.98
170614,10.98
170615,10.98
170616,14.64
170617,10.98
170618,14.64
170619,10.98
190010,7.32
190012,10.98
190013,10.98
190014,7.32
190015,7.32
190016,7.32
190017,10.98
190018,7.32
190019,3.66
190023,3.66
190025,10.98
190030,7.32
190031,7.32
190032,7.32
190033,7.32
190034,3.66
220171,7.32
220172,7.32
220176,7.32
220191,7.32
220192,7.32
220334,7.32
220338,7.32
220339,10.98
220341,10.98
220342,7.32
220344,7.32
220345,7.32
220346,7.32
220347,7.32
220348,7.32
220349,7.32
230051,3.66
230055,3.66
230057,3.66
230658,3.66
300133,3.66
